"State","Overall rank","Local taxes","Affordability","Weather","Safety","Health care","People of similar age","Arts","Other"
"New Hampshire","1","6","14","40","1","5","7","15","8"
"Maine","2","29","17","41","2","3","1","4","24"
"Wyoming","3","1","4","21","7","39","16","10","27"
"Vermont","4","43","12","43","19","1","2","1","15"
"Idaho","5","11","9","24","3","19","35","37","34"
"Rhode Island","6","39","38","34","4","7","12","12","5"
"West Virginia","7","23","1","12","6","38","4","50","44"
"Wisconsin","8","19","6","44","9","15","17","32","29"
"Utah","9","16","11","6","15","27","50","17","22"
"Virginia","10","27","16","8","16","25","41","26","11"
"Delaware","11","18","3","17","31","18","5","28","16"
"South Dakota","12","1","35","42","25","22","23","21","18"
"Connecticut","13","47","28","33","5","10","18","14","9"
"Oregon","14","30","15","16","40","6","11","9","23"
"Ohio","15","35","5","25","22","21","19","36","39"
"Massachusetts","16","41","47","35","8","2","22","7","2"
"Montana","17","5","34","36","33","16","8","8","21"
"Indiana","18","10","8","20","21","32","40","45","38"
"Michigan","19","14","13","38","29","17","15","31","26"
"Pennsylvania","20","34","2","23","17","45","9","30","14"
"Iowa","21","20","18","46","14","26","21","43","25"
"Minnesota","22","44","31","49","20","14","27","11","17"
"New Jersey","23","49","23","28","10","31","29","23","1"
"Illinois","24","37","21","26","24","30","32","25","19"
"Hawaii","25","42","50","3","12","4","6","19","4"
"North Carolina","26","12","22","15","34","29","30","29","41"
"Maryland","27","46","32","14","35","11","38","16","6"
"North Dakota","28","9","27","48","26","24","43","34","20"
"Nevada","29","17","7","7","42","49","37","5","28"
"New York","30","50","39","37","30","13","20","2","3"
"Arizona","31","15","37","4","32","33","13","33","48"
"Missouri","32","13","19","19","39","35","24","35","32"
"Georgia","33","26","10","22","27","46","47","22","40"
"Tennessee","34","8","24","11","47","40","34","6","46"
"Colorado","35","31","41","5","49","12","46","3","12"
"Washington","36","45","26","30","44","8","42","27","13"
"Kentucky","37","22","40","10","13","48","28","44","37"
"Alaska","38","3","25","50","45","9","48","18","42"
"Mississippi","39","27","36","29","11","44","33","49","50"
"South Carolina","40","33","29","27","41","36","14","39","35"
"Florida","41","4","48","45","18","43","3","20","31"
"New Mexico","42","31","20","2","50","34","10","24","43"
"California","43","48","46","1","43","23","45","13","7"
"Kansas","44","25","44","18","36","28","31","41","30"
"Alabama","45","37","30","31","28","47","25","47","45"
"Nebraska","46","24","49","32","23","20","39","38","10"
"Arkansas","47","36","33","9","46","42","26","48","49"
"Oklahoma","48","21","45","13","37","41","44","46","47"
"Texas","49","7","42","47","38","50","49","40","33"
"Louisiana","50","40","43","39","48","37","36","42","36"
